,Mkt-RF,SMB,HML,RF
20000515,2.13,-0.82,-0.72,0.023
20000516,1.3,0.41,-0.81,0.023
20000517,-1.38,0.18,0.76,0.023
20000518,-1.09,-1.13,0.86,0.023
20000519,-2.39,-0.22,0.86,0.023
20000522,-0.73,-1.47,0.42,0.023
20000523,-2.38,-0.8,1.31,0.023
20000524,1.55,-1.26,-1.2,0.023
20000525,-1.29,0.28,0.48,0.023
20000526,-0.18,0.04,0.32,0.023
20000530,3.82,0.78,-2.29,0.023
20000531,-0.22,-0.07,0.87,0.023
20000601,2.5,0.69,-1.38,0.018
20000602,2.91,1.55,-2.22,0.018
20000605,-0.37,1.42,-0.79,0.018
20000606,-0.87,0.67,0.22,0.018
20000607,1.16,0.29,-0.75,0.018
20000608,-0.6,0.66,0.25,0.018
20000609,0.04,1.67,-0.33,0.018
20000612,-1.19,-0.94,1.37,0.018
20000613,1.45,-0.3,-0.74,0.018
20000614,-0.16,-0.22,0.27,0.018
20000615,0.5,0.06,-0.9,0.018
20000616,-0.74,1.2,0.09,0.018
20000619,1.66,0.27,-1.39,0.018
20000620,-0.25,0.86,-0.3,0.018
20000621,0.36,0.74,-0.46,0.018
20000622,-1.88,-0.02,0.56,0.018
20000623,-0.99,-0.06,0.68,0.018
20000626,0.92,1.31,-1.22,0.018
20000627,-0.55,-0.61,0.53,0.018
20000628,0.77,1.66,-1.12,0.018
20000629,-0.67,-0.09,0.99,0.018
20000630,0.74,1.63,-1.33,0.018
20000703,0.91,-0.72,0.77,0.024
20000705,-1.6,-0.07,1.67,0.024
20000706,0.87,0.07,-0.2,0.024
20000707,1.46,-0.88,-0.57,0.024
20000710,-0.13,0.2,0.43,0.024
20000711,0.12,-0.32,0.21,0.024
20000712,1.31,0.44,-0.69,0.024
20000713,0.51,0.25,-0.57,0.024
20000714,0.94,-0.42,-0.37,0.024
20000717,0.1,1.09,-1.27,0.024
20000718,-1.35,0.18,1.15,0.024
20000719,-1.19,-0.43,1.31,0.024
20000720,1.33,-0.29,-0.72,0.024
20000721,-1.3,-0.43,0.95,0.024
20000724,-1.44,-0.4,0.75,0.024
20000725,0.51,-0.77,0.38,0.024
20000726,-1.33,0.74,1.09,0.024
20000727,-0.9,-1.86,2.64,0.024
20000728,-2.33,-0.23,1.7,0.024
20000731,1.03,0.8,-0.45,0.024
20000801,0.16,-1.31,1.47,0.022
20000802,0.02,-0.01,0.35,0.022
20000803,1.11,-1.43,0.1,0.022
20000804,0.89,-0.78,0.32,0.022
20000807,1.16,0.16,-0.77,0.022
20000808,0.1,-0.49,0.93,0.022
